# merge_scores mode=fair doms=ja,code,en weights=ja=1,code=1,en=1
# layer	expert	score	hits	mean
3	6	100.000000	0	0.000000
3	17	99.000000	0	0.000000
3	1	98.000000	0	0.000000
3	65	97.000000	0	0.000000
3	124	96.000000	0	0.000000
3	26	95.000000	0	0.000000
3	43	94.000000	0	0.000000
3	7	93.000000	0	0.000000
3	96	92.000000	0	0.000000
3	79	91.000000	0	0.000000
3	11	90.000000	0	0.000000
3	62	89.000000	0	0.000000
3	63	88.000000	0	0.000000
3	77	87.000000	0	0.000000
3	33	86.000000	0	0.000000
3	13	85.000000	0	0.000000
3	61	84.000000	0	0.000000
3	58	83.000000	0	0.000000
3	104	82.000000	0	0.000000
3	19	81.000000	0	0.000000
3	92	80.000000	0	0.000000
3	31	79.000000	0	0.000000
3	28	78.000000	0	0.000000
3	24	77.000000	0	0.000000
3	123	76.000000	0	0.000000
3	86	75.000000	0	0.000000
3	75	74.000000	0	0.000000
3	34	73.000000	0	0.000000
3	90	72.000000	0	0.000000
3	85	71.000000	0	0.000000
3	59	70.000000	0	0.000000
3	21	69.000000	0	0.000000
3	72	68.000000	0	0.000000
3	4	67.000000	0	0.000000
3	40	66.000000	0	0.000000
3	29	65.000000	0	0.000000
3	97	64.000000	0	0.000000
3	126	63.000000	0	0.000000
3	121	62.000000	0	0.000000
3	103	61.000000	0	0.000000
3	18	60.000000	0	0.000000
3	91	59.000000	0	0.000000
3	14	58.000000	0	0.000000
3	105	57.000000	0	0.000000
3	3	56.000000	0	0.000000
3	36	55.000000	0	0.000000
3	12	54.000000	0	0.000000
3	5	53.000000	0	0.000000
3	60	52.000000	0	0.000000
3	49	51.000000	0	0.000000
3	37	50.000000	0	0.000000
3	80	49.000000	0	0.000000
3	45	48.000000	0	0.000000
3	41	47.000000	0	0.000000
3	47	46.000000	0	0.000000
3	16	45.000000	0	0.000000
3	53	44.000000	0	0.000000
3	119	43.000000	0	0.000000
3	115	42.000000	0	0.000000
3	9	41.000000	0	0.000000
3	94	40.000000	0	0.000000
3	122	39.000000	0	0.000000
3	88	38.000000	0	0.000000
3	118	37.000000	0	0.000000
3	112	36.000000	0	0.000000
3	116	35.000000	0	0.000000
3	2	34.000000	0	0.000000
3	27	33.000000	0	0.000000
3	20	32.000000	0	0.000000
3	56	31.000000	0	0.000000
3	55	30.000000	0	0.000000
3	35	29.000000	0	0.000000
3	46	28.000000	0	0.000000
3	42	27.000000	0	0.000000
3	23	26.000000	0	0.000000
3	120	25.000000	0	0.000000
3	108	24.000000	0	0.000000
3	71	23.000000	0	0.000000
3	99	22.000000	0	0.000000
3	117	21.000000	0	0.000000
3	109	20.000000	0	0.000000
3	83	19.000000	0	0.000000
3	84	18.000000	0	0.000000
3	50	17.000000	0	0.000000
3	114	16.000000	0	0.000000
3	32	15.000000	0	0.000000
3	101	14.000000	0	0.000000
3	87	13.000000	0	0.000000
3	0	12.000000	0	0.000000
3	67	11.000000	0	0.000000
3	66	10.000000	0	0.000000
3	113	9.000000	0	0.000000
3	22	8.000000	0	0.000000
3	69	7.000000	0	0.000000
3	39	6.000000	0	0.000000
3	51	5.000000	0	0.000000
3	30	4.000000	0	0.000000
3	98	3.000000	0	0.000000
3	68	2.000000	0	0.000000
3	125	1.000000	0	0.000000
4	7	128.000000	0	0.000000
4	84	127.000000	0	0.000000
4	51	126.000000	0	0.000000
4	57	125.000000	0	0.000000
4	113	124.000000	0	0.000000
4	70	123.000000	0	0.000000
4	36	122.000000	0	0.000000
4	11	121.000000	0	0.000000
4	102	120.000000	0	0.000000
4	78	119.000000	0	0.000000
4	39	118.000000	0	0.000000
4	35	117.000000	0	0.000000
4	46	116.000000	0	0.000000
4	63	115.000000	0	0.000000
4	74	114.000000	0	0.000000
4	123	113.000000	0	0.000000
4	79	112.000000	0	0.000000
4	37	111.000000	0	0.000000
4	32	110.000000	0	0.000000
4	111	109.000000	0	0.000000
4	85	108.000000	0	0.000000
4	1	107.000000	0	0.000000
4	3	106.000000	0	0.000000
4	91	105.000000	0	0.000000
4	126	104.000000	0	0.000000
4	10	103.000000	0	0.000000
4	48	102.000000	0	0.000000
4	87	101.000000	0	0.000000
4	27	100.000000	0	0.000000
4	76	99.000000	0	0.000000
4	49	98.000000	0	0.000000
4	60	97.000000	0	0.000000
4	103	96.000000	0	0.000000
4	104	95.000000	0	0.000000
4	40	94.000000	0	0.000000
4	125	93.000000	0	0.000000
4	22	92.000000	0	0.000000
4	4	91.000000	0	0.000000
4	0	90.000000	0	0.000000
4	75	89.000000	0	0.000000
4	25	88.000000	0	0.000000
4	99	87.000000	0	0.000000
4	96	86.000000	0	0.000000
4	54	85.000000	0	0.000000
4	21	84.000000	0	0.000000
4	116	83.000000	0	0.000000
4	118	82.000000	0	0.000000
4	82	81.000000	0	0.000000
4	106	80.000000	0	0.000000
4	94	79.000000	0	0.000000
4	5	78.000000	0	0.000000
4	29	77.000000	0	0.000000
4	50	76.000000	0	0.000000
4	77	75.000000	0	0.000000
4	81	74.000000	0	0.000000
4	18	73.000000	0	0.000000
4	47	72.000000	0	0.000000
